,PC1,PC2,Class Attruibute
0,3.2601414680466245,-2.0190525003728923,1
1,2.522897139668785,-1.183668307620579,1
2,1.4172426446004154,-1.0476560127969397,1
3,0.17074520121121495,-1.3516702322867702,1
4,-0.003488732829990671,-1.3377649357584558,1
5,0.30085095681004115,-1.1708749563745493,1
6,0.7704312038166098,-0.9917159936584002,1
7,0.49267098934359665,-1.2045902442499712,1
8,1.3154886477953782,-0.949042846938686,1
9,-0.3921584332929016,-0.7166705601013377,1
10,-1.4165390336267905,-0.9344247629879269,1
11,-1.416491596202815,-0.7239594051783175,1
12,-1.1548129677324166,-0.2845672194928764,1
13,-1.6418598067558055,-0.4661548837411538,1
14,-1.7699690251138274,-0.5061719497183709,1
15,-1.740489399602169,-0.17529597811091913,1
16,-2.475978973925767,-0.5611273015584665,1
17,3.1611515282345897,-0.8746987501935422,1
18,2.3246091974408465,-0.6023135011531278,1
19,1.621657374495467,-0.2799623952573526,1
20,2.0744481071169414,-0.6012616333528514,1
21,1.4094877034728497,-0.7323002739171401,1
22,0.9413468006519053,-0.6450582895405815,1
23,0.7537650654592375,-0.8411726964120336,1
24,-0.4581537522482251,-0.23247185133914333,1
25,-0.6482647329122865,-0.5037091070513491,1
26,-1.437275276552825,-0.6010186090313453,1
27,-1.6107232198259855,-0.30503995103880777,1
28,-1.4830724069257144,-0.569855521700392,1
29,-1.4338393543950145,-0.3039165078959398,1
30,-1.0819281219986063,-0.5396341177673312,1
31,-1.6964824651319883,-0.8266411853610688,1
32,-2.515047679960434,-0.693445813357112,1
33,3.1571459428097177,-0.7632653731029287,2
34,1.9312899873643508,-0.14583641662957408,2
35,1.816728830362652,0.38260883374852545,2
36,0.3726922522660009,0.25164118059466023,2
37,0.7805056495111808,-0.2847197544505163,2
38,0.5135066943547489,-0.16075954065565135,2
39,0.4776069443443886,0.14673736120626407,2
40,0.27041094418155315,-0.051971132210157235,2
41,0.33718969734900583,-0.030661608918543463,2
42,-1.2761036583078256,0.46566572111587023,2
43,-2.0131319521226665,0.3015877372886023,2
44,-1.661067150592447,0.32676604160927303,2
45,-1.457641244609683,0.5408298660842762,2
46,-1.5328842853693228,0.6267547438392329,2
47,-1.4628221721281751,0.6889466669707268,2
48,2.704083803509586,-1.7259721814146514,2
49,0.679592023401718,-1.1298974702981956,2
50,0.8549433811670051,-1.038672462113807,2
51,0.07977491835231967,-0.8832477635614894,2
52,-0.011807228126910476,-1.0610826015442827,2
53,0.12564481789333684,-1.0921516367747968,2
54,0.1744953684896668,-1.245529735256685,2
55,0.4059089551755378,-1.382902054064205,2
56,-0.39297212219156363,-0.7738445549967031,2
57,-0.5787759410504216,-0.7049160434773154,2
58,-0.7749827936742384,-0.5147205774449064,2
59,-1.6884291182514948,-0.8389595770189547,2
60,-2.53445849910587,-0.7936244023809196,2
61,-1.970874256734463,-0.5800915745861099,2
62,-1.7752998940339915,-0.15908150333043072,2
63,-2.026157703303395,-0.4501279429153833,2
64,-2.2096057336357195,-0.30435645288580854,2
65,4.228339940643058,1.5311949522645345,2
66,3.283231639357166,2.0286677069033376,2
67,2.1060471033752477,1.5552994251970667,2
68,0.7004514548849959,1.8928103635185483,2
69,0.5411930018292883,1.7017279304688402,2
70,0.5606633023001957,1.9376083919966978,2
71,1.3621476566895332,1.946680771705597,2
72,0.7515926495053327,1.5747953146698916,2
73,1.5155346334029098,2.010100430042191,2
74,0.7584112008948617,1.7934303945156524,2
75,0.12285234431755558,2.304431899761406,2
76,-0.4063349675491939,2.1785172713999814,2
77,-0.3579735073946187,2.777650263314137,2
78,-0.9391255259828492,2.472891372303057,2
79,-0.9247594347600747,2.6134742843874728,2
80,-1.5788879649839174,2.270228000948407,2
81,-1.1686756598556598,1.980521773143518,2
82,-0.029573373099348828,2.591731956349974,2
