,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,Class Attruibute
0,-1.0788840682842262,2.3069847964064105,-1.5668006904075522,-0.14799323106939488,0.551530935160197,0.527875932217983,-0.21041350300253314,0.6481308910411601,-0.20065703553684003,-0.011392060680851333,-0.2125061590254147,0.18329730908519618,-0.05703111824963443,0.04118086347563623,-0.036931262083070786,0.03736551953430706,-0.05202438985884186,-0.015591216557073575,1
1,-1.1154939107335964,2.243641204420938,-1.5369972379469392,-0.16725294312320815,0.5253197217551836,0.5350447805433732,-0.26650777818258364,0.6306949456570949,-0.15893082506667092,-0.04826659530661771,-0.20740000733456532,0.282143103501252,-0.05250159575023803,-0.008244356676535973,-0.06947051739809006,0.03209723995809992,-0.027303276006923005,0.010957353919591907,1
2,-1.1193047139070003,2.1926904766799735,-1.414351338522022,0.3077901147396598,0.33661283851597323,0.3810517419873919,-0.10197327632570838,0.4184579155272625,-0.2010424138032345,0.03001733999109469,-0.04705879353255176,0.05807174913680152,-0.020603064890208706,0.05386000984200388,-0.012761787526077177,0.031046050628840572,-0.06227502421435059,-0.027935885425466548,1
3,-1.0581131659303031,2.148865448188296,-1.273970013078967,0.36043070062084764,0.40671752225206315,0.4242000740500261,-0.12526545310649168,0.3953694756122676,-0.14422849374323238,0.026092788492699838,-0.0339024681799688,0.07096127915161414,-0.09550348254058043,0.031841445493365594,0.008983792571946867,0.008970172592128007,-0.03699193450235037,-0.009817042220587597,1
4,-1.092377532940411,2.2045253517471273,-1.444502174993642,0.384622909730191,0.36544675230382817,0.34259479420467426,-0.1571982905542352,0.44558210985135027,-0.1552776294186702,0.018928361902080523,-0.0673472463139203,0.14493240446061606,-0.0381321064939237,0.11537125266366999,0.018833919104512625,0.03583801134130865,-0.02555621576141467,-0.025796656867581712,1
5,-1.0414291168932042,2.1927297230592173,-1.318674830797393,0.4230572858761305,0.4527115184113228,0.3526713221258552,-0.13424863362373535,0.426048663330297,-0.10876719664858402,-0.0011027053192678982,-0.02581070899337999,0.07017144932798387,-0.07126161495425627,0.08675141397325864,0.03639185055444159,0.049970295743588064,-0.021928408161940558,-0.01739687440967678,1
6,-1.1146433740908617,2.1484103090323474,-1.3064225129377642,0.24121813248332477,0.3082808718108539,0.442389938006856,-0.08322661609810812,0.3797951843793273,-0.2065847874658566,0.028870323681265447,-0.08294041889107491,0.05724414072961564,-0.04971486518526433,-0.0505799095743834,-0.060719259264318676,0.017445834367142875,-0.07172386662205611,-0.00976882478067879,1
7,-1.0876764003176027,2.135053098408408,-1.28557999491939,0.2940723953932475,0.33086581629328327,0.4202147248847053,-0.15376150118302231,0.35299178072183746,-0.15823191908072715,0.007637993788092087,-0.0890534778686926,0.17379845384668324,-0.06310210219408985,-0.014038118211834346,-0.02473141420342478,-0.00872089004467131,-0.030994354087162473,0.005167715751581094,1
8,-1.098804771059768,2.055208101345665,-1.1623979936897397,0.5983900085963089,0.20738931192265106,0.31382043973975543,-0.027313535533058788,0.1879707755027389,-0.1802864840706972,0.03740886868441303,-0.008446323484182842,0.08019995354936536,-0.03832177532749789,-0.04783311803037201,-0.027049263530383765,0.00840731423154642,-0.03518765219914026,0.010236552968133956,1
9,-1.0375811939593822,2.0240424285975496,-1.0079635773226567,1.1075527862103625,0.10507819461545602,0.17714767993614922,0.09401145015274044,-0.004333284920789029,-0.17781779277350807,0.09145694121421384,0.1221354536556338,-0.0360975482425909,-0.056470227427053064,0.0495554184255215,0.0757567467673022,-0.013872046719239299,-0.01648755311502657,-0.008475160751976048,1
