,PC1,PC2,PC3,PC4,PC5,Class Attruibute
0,0.9143653291371295,-2.1627692026187453,0.43633355018441866,0.23215410958909982,-0.8711971152860127,1
1,0.8663503321260764,-2.170359003325054,0.444586839909945,0.24224504992572743,-0.8478094913769699,1
2,0.8276139845697473,-2.1310124990825896,0.1445302937605759,0.05444532461284987,-0.7893861234086914,1
3,0.8084122122799466,-2.0688973756806455,0.12524541800061745,0.03625968473471175,-0.7804413214002206,1
4,0.8394666851142567,-2.1620485469182045,0.15865117656142932,0.07162529880388394,-0.810679463296902,1
5,0.8472368190688938,-2.098736121968565,0.11306783636587887,0.034017008372522944,-0.8196812764040461,1
6,0.7993143003872216,-2.0802563067309667,0.1377656625670123,0.040136957254882456,-0.7420560729508315,1
7,0.789744598650021,-2.097796486361972,0.13592691224815448,0.044661240600993315,-0.7614715634706302,1
8,0.7213807615851145,-2.0632736271459406,-0.04829225702859879,-0.07435755172940739,-0.695781243932556,1
9,0.6832264442515533,-2.0420791806898184,-0.2910747993829664,-0.23199248563280447,-0.6326972721920624,1
10,0.5957010031900783,-2.010312074838357,-0.41302897969650065,-0.2954684215911463,-0.6153670790775073,1
11,0.5435908761200817,-2.0662807594040813,-0.48580717329016765,-0.34347785979076256,-0.524652342850367,1
12,0.5522705245805732,-2.0248797066728006,-0.5375520963671161,-0.37583811794202115,-0.558374787629181,1
13,0.5527309750586303,-2.0099516888752325,-0.511667625214351,-0.362139892550803,-0.5417464372443285,1
14,0.5287857121884909,-2.006268792307634,-0.5035965425520296,-0.34819497107864017,-0.5614525772373052,1
15,0.5404303653308508,-2.0143580596579698,-0.5159728070565399,-0.35963776147555276,-0.5615473769530231,1
16,0.5450713364090616,-2.0231808429585265,-0.5242145456019123,-0.36260531188824696,-0.5710967960293263,1
17,0.5095248314359276,-2.0330406173044167,-0.6331991709106628,-0.43068700121410924,-0.5151575444373303,1
18,0.44456613547980844,-1.9895237928176688,-0.7739370157098093,-0.5086040563907323,-0.5016433395718,1
19,2.9008936406117387,0.09950059207689727,0.5615956246506755,0.07920550405794019,0.36000387501647724,2
20,3.8241416829649886,0.4611407050774553,0.29342076213703105,-0.2545535332975358,-0.2726271245976143,2
21,8.958791881722618,2.771053069575378,2.935281817391533,-0.9002304070484605,1.3279242313613948,2
22,6.014612855751801,4.381867686563068,-3.060780286126687,-2.986780086440313,0.36480608071092,2
23,5.428367408475187,2.24255110490074,-5.698426188720889,8.62619663807102,1.3039766035658207,2
24,1.7785525075676971,-0.4089741286895775,-0.9133359881957431,-0.2625066029089542,-1.326101044321469,2
25,7.4415086951307705,5.926923237574289,-4.766937095391826,-3.399087043874295,-0.8849207681765208,2
26,3.208432315034053,1.1937003268751571,-3.0850730473720467,-1.8074217927151646,-0.7472687220832837,2
27,1.6123676852295525,-1.4171331951128987,1.2842249344406902,0.8464857142138806,-1.727871768804546,2
28,1.595636537113644,-1.4606211663863273,1.2716029106689026,0.8444106350808495,-1.757184963955584,2
29,1.6999055782607804,-1.7493867498459839,1.2302437287137862,0.7116226716902355,-1.396601634548986,2
30,1.6849999935630424,-1.7549649875055775,1.1530566275069574,0.6634656551760344,-1.3529913416451562,2
