,PC1,PC2,PC3,PC4,Class Attruibute
0,-1.4513456889546832,1.5384194713246968,-1.712186102695773,-0.21757796117776293,1
1,-1.4812712003798583,1.4928832938765673,-1.6738245067563002,-0.2422987646629227,1
2,-1.4670069467693587,1.4029507395564151,-1.5549326126367196,0.2614963351195438,1
3,-1.4200510433645777,1.3755125319443546,-1.4007623793601216,0.3015665034526235,1
4,-1.4416508139291346,1.4284286602496896,-1.5774534599581445,0.3425056298306442,1
5,-1.411350428485274,1.4278939432216007,-1.443609461475371,0.37152819179906316,1
6,-1.468067213477435,1.3610307250214244,-1.4464465612393538,0.18621276771752035,1
7,-1.4434290775400305,1.3628348891264583,-1.415737551998145,0.23823028911810695,1
8,-1.438800280458028,1.2625499555900292,-1.294969288568904,0.5549510855767187,1
9,-1.3699489906233662,1.2043053741244205,-1.1367907346915218,1.085494408538877,1
10,-1.3379900138328524,1.1094745306468787,-0.9978574938196599,1.3404343796678342,1
11,-1.425859877305542,1.0231301259328394,-1.145954180598451,1.3699641379113014,1
12,-1.4125815849221546,1.0311482734252808,-1.0434174969921433,1.4612512824381727,1
13,-1.3455797345143412,1.0416204948104504,-0.9972955855310872,1.4691112411468503,1
14,-1.373274081870338,1.0160882016683481,-1.044569548968279,1.4477238024147507,1
15,-1.381403410460755,1.0200414162792102,-1.0405713947633746,1.4645827671614162,1
16,-1.3789612528773598,1.013695116179003,-1.0331879289122212,1.5246235132927812,1
17,-1.3938555319278958,0.9679759994181365,-1.025275170074803,1.6935176202136224,1
18,-1.3812896737025735,0.888143810020811,-0.9170532890394467,1.937780548341982,1
19,0.32114113976822906,3.1802390439100483,1.3571290118325798,-1.0464719022315903,2
20,0.858805551482387,4.21308234668495,1.8810861795054967,-0.8228005254975524,2
21,2.7007157931293557,6.676093385332453,4.412163959694533,-1.4593299712980228,2
22,4.753433501357316,4.937929078731661,7.429540835475621,3.109033640791868,2
23,-0.5336369629531096,1.35945892105018,-0.45664794246418516,1.345082103906818,2
24,-0.1589531848492084,1.6240125046185654,2.5298356677549303,2.7761731618219816,2
25,-0.847953474068459,2.2019052305930527,-2.066748654886486,-1.1393555878962147,2
26,-0.9201408898120909,2.199944271633819,-2.134321816912845,-1.100736357646237,2
27,-1.073294609909769,2.2909242466999857,-2.037021379826178,-1.1570731296693901,2
