,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,Class Attruibute
0,0.10259330280780544,-0.8295623168429002,-1.676971029153055,-1.0079382113939768,-0.0981900438432861,-0.684320097917714,0.8043837835230486,0.2090890488327638,-0.21362945665183014,0.33313525170482294,0.02237666394551243,0.14362980283735466,0.13473170338173693,-0.01606992868085282,-0.022945756693919933,-0.05768954561461513,0.053133603049304305,0.050951983125605935,-0.007267181188888376,0.11795724433330416,0.01108777354281788,0.025717583369415577,0.013544709111426138,0.05390229040717903,-0.0310753003689191,-0.036465139541474435,-0.01045542555905014,1
1,-0.04013267582492884,-0.7706438111798233,-1.2391890576612388,-0.7041648197432099,-0.048585932056639324,-0.6174705578660479,0.6466508230089227,0.14317244348081967,-0.13358348086495703,0.20660407720741114,0.014584315801972352,0.10755115228590306,0.03661894980505528,-0.0010536411216394927,-0.0011298213482962287,-0.09090362180351506,0.0809129750912671,0.042012466508499095,-0.03001493637465212,0.05430508231953579,-0.013659709852258926,0.008930106284809405,0.008524049049670322,0.03795979128335141,-0.017590878675574576,-0.021357382904903906,0.011176086035055825,1
2,-0.03753208545568228,-0.7907249906433217,-1.2565754823626485,-0.6674105566898836,-0.04770119572891054,-0.6230646066780308,0.6524779897879687,0.159871572257432,-0.14958371318225708,0.18868995522739163,0.008533461736128742,0.09921494658923764,0.03329250142504609,0.008049307386934173,0.019235653627288983,-0.07425416341997323,0.07582535741761286,0.019928758672958815,0.011415801307194306,0.06886769817360973,0.011158255179902193,0.038114597273973094,-0.007346931620257158,0.03660265170593426,-0.019423862437459454,-0.0593210358392608,0.009485395744042916,1
3,-0.04640420872827503,-0.7939478163053943,-1.2380378962953222,-0.6686648981350407,-0.054041496809991464,-0.6288343205270909,0.6304138332846766,0.16378473375992794,-0.13522945579162787,0.17616889187713247,0.01310449621982198,0.10050791156727389,0.01715332091527099,0.001713901174589605,0.03198338772160944,-0.0904818474964907,0.0921292149764465,0.019517693878174806,-0.0004671633081418431,0.027040557063852506,0.003134655961146906,0.005549135474826861,-0.008358997512133176,0.026776918292188347,-0.021957486827986664,-0.04068749957598013,0.014462683447414077,1
4,-0.015391624008628698,-0.7647920282043238,-1.2641053244538272,-0.6618116273828699,-0.04202513619358795,-0.5941749500533142,0.6578388544109112,0.1337821116816299,-0.16781537775049624,0.21142082208038468,-0.0004943500710111793,0.09521709319336044,0.058045751838086426,0.013949223381354535,-0.013000739287498116,-0.08164733660340862,0.05715106741964588,0.04464163297980438,-0.0250995879656528,0.07586989462903018,0.04493991573975416,0.016286847073756924,-0.0007948723760869503,0.04413110844252178,-0.004935408148746496,-0.026221765982098418,-0.013288882253744758,1
5,-0.02755187617017017,-0.7553915309675934,-1.2403407759136844,-0.6934527401071515,-0.06365610178042337,-0.5975209511820623,0.6659107569039638,0.12429381934783036,-0.1484654867827768,0.2143311611401819,0.01097669749097533,0.10157245954621492,0.06719989584020687,0.0006367821122222465,-0.02272726707581554,-0.08475578319246188,0.06913513720079233,0.04209052855771551,-0.03231564733091136,0.07172148730624181,0.0034538871046693666,0.003800500528505482,0.012676974416854276,0.04327257416466657,-0.008852108249562304,0.0008344559540157543,-0.0019369816137754898,1
6,-0.07010594247015056,-0.7557062491161812,-1.2270552433817643,-0.7055026700941285,-0.048238309769287314,-0.61390463978504,0.6449698993203066,0.11298397605127711,-0.15249016188034376,0.2241134342229604,0.010448315315184557,0.1154283097678231,0.0527735875736056,-0.01560621617393912,-0.010062253655520851,-0.076945308280804,0.08585155869922936,0.03697878180946713,-0.026939646069613094,0.04047472407573279,-0.020829124945225156,-0.0027305018651737367,0.007323567277214033,0.03478391168515695,-0.014280057575826186,0.00713775105001108,0.004703820469780769,1
7,-0.20074237511129267,-0.7068288461797053,-0.7831211441960076,-0.36231611241994327,-0.010288234665111464,-0.4982227535788474,0.5226371469211151,0.03507942401749085,-0.07301556916507383,0.09301148607628322,-0.0014070249902105826,0.04315411818757489,-0.012572785119646178,0.026828521385358888,-0.022845173932222736,-0.08310772801713544,0.07986569323600802,0.048672475349956335,-0.03410296438478735,0.06009700610127369,0.010916181167817476,0.02305504865332468,0.0031997429005121017,0.0013803744045958839,-0.0109470138184091,-0.05585164468590297,-0.00040699172277089857,1
8,-0.3513819168913315,-0.6416140500867357,-0.3706822670519662,-0.07548771516307824,0.007044494179266703,-0.3962809510656325,0.4229471057711826,-0.07214053005026044,-0.015658710033085044,-0.004752907414699022,-0.005199533013379409,-0.004847122519211331,-0.0466124177627086,0.037684469272707105,-0.039968431961291025,-0.08333677810591358,0.0960219855288557,0.036635017605759275,-0.0397258648146301,0.06904115901634766,0.009392520645115343,0.04223734285630009,0.011890195227362448,0.011860356442151679,-0.011273385212735604,-0.049808132005801586,0.003504513236600213,1
9,-0.620738737971831,-0.4777505253051564,0.46472558108176254,0.5406857545250442,0.0758856823604423,-0.15992263324614975,0.16568134658539774,-0.2714969744563442,0.046546233966424315,-0.2182217184236418,-0.0443902218448638,-0.07186778909489858,-0.13801687779307822,0.0662850333044768,-0.051893199175211256,-0.11002629960507393,0.07158588732697412,-0.00873054326047952,-0.06524254211275557,0.05080365759967888,-0.03600761954723385,0.02583411389617065,0.017996191085036767,0.0085364555471364,-0.01592517354279387,-0.030712844782241767,0.03396638448534191,1
