,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,Class Attruibute
0,-0.01464041817146165,-0.8699491605117146,-1.6660352649371204,-1.0963593615929708,-0.11799595823870854,-0.744976554935635,0.7067883757050529,0.19858633601931971,1
1,-0.13319564964617883,-0.7993807844133508,-1.2326141433336295,-0.7722444898768851,-0.07626845430339971,-0.6698371694891175,0.564629058445267,0.13508745141923476,1
2,-0.1317485441908561,-0.8199280426773843,-1.2513712063880227,-0.7358061260647603,-0.07801732568265929,-0.6765445901732777,0.5712043523551187,0.1511149303589235,1
3,-0.1403330594403948,-0.8226075314995658,-1.2324942062056328,-0.7361435947694348,-0.08514668158092771,-0.6797220387958635,0.5492108190947411,0.15524539544538865,1
4,-0.10779087817131204,-0.7947214480592322,-1.259551642263282,-0.7314292370782803,-0.06788242856929147,-0.6482063146040683,0.5775445364933025,0.12564596371357686,1
5,-0.11964763830546989,-0.7846907142544564,-1.235107067419579,-0.7625290191367053,-0.08978638244387695,-0.6504256325940488,0.5844489426595408,0.11555488183269534,1
6,-0.16209056126716148,-0.783233044633876,-1.2196805515851468,-0.772531830915269,-0.07522721868793376,-0.6659287976790925,0.5626213099376853,0.10503030556290316,1
7,-0.2670942877849097,-0.722951966748385,-0.7818822155258929,-0.4098735543366945,-0.0414586860251201,-0.5443713970159066,0.45884324072485905,0.02826046524217829,1
8,-0.39413126551040417,-0.6463314269261345,-0.37405918559998147,-0.10472212934685492,-0.028013985294947943,-0.4366105581047163,0.37454834277296406,-0.07843404671190883,1
9,-0.6134553893297925,-0.4603231292025533,0.4507225702819753,0.5488691207184343,0.03538335852520732,-0.1867280982406946,0.1539877140843011,-0.2741772289700688,1
10,-0.8217601160416589,-0.31139007240693684,1.075513263124004,0.9888150058145279,0.0944008625154307,-0.017933391069337844,0.011483065630660516,-0.46904356212615794,1
11,-0.8150077562506614,-0.3170110292206882,1.0629924275857496,0.9936961038197999,0.08988008395601588,-0.012842515048653861,0.017534124258586876,-0.46333191757596603,1
12,-0.8365723322851669,-0.32225428441213794,1.0755033387910982,0.9889867554268295,0.12037239696166686,-0.03826477190117372,0.029244928755552582,-0.46169644176396896,1
13,-0.8073596103957078,-0.31578178582218636,1.046863290369816,0.9876309542775576,0.10847257701454348,-0.009807626223397562,0.014114222623314668,-0.4611291165173111,1
14,-0.8111734707283174,-0.32693783336268817,1.0478203012489788,1.0159160650312675,0.08980576006816549,-0.005844667346746614,0.003558613780773295,-0.4628891787158592,1
15,-0.8108684440780891,-0.32429832418698135,1.0214300165124524,1.0386685265697804,0.12661434557183862,-0.006277607097596203,0.0015618860337182985,-0.46668786003152046,1
16,-1.0179445986058056,-0.048906415072884374,1.7494903867890523,1.6614434247109287,0.2547793867256891,0.3356419011546779,-0.17641476186522473,-0.7928698238448759,1
17,0.10041841810092933,-1.0546876140479282,-1.8452281275686095,-1.486398003643089,-0.13341576968706342,-1.0440398179500312,0.6031429377895546,0.24984176156425167,1
18,0.1682330682758002,-1.0192656541450844,-1.7867006026959718,-1.4778922870069895,-0.1932148300489748,-1.0812397888489984,0.6138948142079343,0.20408288115080722,1
19,-0.07504904472797576,-0.8687377688248599,-1.6351066025280625,-1.0667988917668407,-0.10819764812974854,-0.7981841483765373,0.641760749901938,0.19296588215810656,1
20,-0.22905506050295624,-0.7956832251786308,-1.2016792131371685,-0.7677902747461903,-0.10090972746504208,-0.698986944930905,0.513510283024999,0.09011249176983892,1
21,-0.20922293395445862,-0.8169346571204612,-1.2240325915838504,-0.7327887673081794,-0.08365962723267563,-0.7042500846355029,0.5140345822508567,0.12954702417653116,1
22,-0.24788369828025517,-0.8001921397355177,-1.217493812614404,-0.7760722080300778,-0.0822759798986402,-0.7080309750126655,0.5004132921553466,0.1022738449233073,1
23,-0.21526325509675565,-0.8099149545736231,-1.2172028671011388,-0.7263277372029296,-0.07706680797281044,-0.6992687101403477,0.4926611162606387,0.1297301241273113,1
24,-0.20760673161029355,-0.8110043460243964,-1.232108310863951,-0.7648401137355068,-0.07362244443223516,-0.6903939477552263,0.5221099255341313,0.11612582674253846,1
