,Profile factor,Symmetry,Crossflow,Average Flow Velocity,Average Gain,Average Signal Quality,Average Signal Strength,Class Attruibute
0,1.10268971084691,1.00442493353855,1.00674137629137,15.917361111111124,15.109722222222226,3156.708333333333,61.75,1
1,1.10143161440531,1.00372200232389,1.00825616845614,14.729722222222223,15.1,3205.243055555555,61.75,1
2,1.09856774308336,1.00252780109601,1.00910346915987,14.74375,15.1,3211.9618055555547,61.75,1
3,1.09951578884829,1.00702365514043,1.00936315390448,14.724166666666676,15.1,3216.1805555555547,61.75,1
4,1.10033623947392,1.00066135066702,1.00670931058991,14.70541666666665,15.1,3197.749999999998,61.75,1
5,1.10226968232387,1.00282699544277,1.0066214500881,14.710486111111123,15.1,3200.399305555555,61.75,1
6,1.10142468797746,1.00377462017293,1.00888682341113,14.709097222222224,15.1,3203.031249999998,61.75,1
7,1.10134759124884,1.00141341287245,1.00786137292518,13.373472222222247,15.1,3250.739583333334,61.75,1
8,1.10445619154687,1.00018187398407,1.00757567114286,12.219583333333324,15.1,3292.6249999999995,61.75,1
9,1.10360576203169,1.00632676378178,1.00853552178202,9.755763888888888,15.1,3364.458333333334,61.75,1
10,1.10715335980003,1.00321504079957,1.00967623187898,7.96152777777778,15.1,3412.7013888888887,61.75,1
11,1.09954229220066,1.00694784739237,1.01085412684774,7.963680555555557,15.1,3412.9930555555547,61.75,1
12,1.10392419215895,1.00702883219974,1.01800217995148,7.97138888888889,15.1,3414.5833333333358,61.75,1
13,1.10412811257489,1.00644721668938,1.01129676334594,7.974791666666667,15.1,3406.680555555557,61.75,1
14,1.10476889214967,1.00422670509126,1.00738213942097,7.96888888888889,15.1,3412.913194444446,61.75,1
15,1.10317896821032,1.00251361541684,1.01030385868994,7.96666666666667,15.0826388888889,3404.934027777779,61.75,1
16,1.1087860532068,1.00519618777248,1.00932158187498,5.493680555555555,14.975,3417.055555555557,61.75,1
17,1.10344149963261,1.00295328441024,1.00895166752348,17.0965972222222,15.2965277777778,3166.458333333331,61.56944444444445,1
18,1.09943475973045,1.00181270838054,1.00834618819518,17.17833333333335,15.556597222222226,3174.0590277777774,61.53472222222223,1
19,1.10204492613002,1.00681639430219,1.01106946439206,15.947222222222226,15.275,3171.6979166666674,61.75,1
20,1.09924908605869,1.00573025328286,1.00753066122418,14.754513888888876,15.275,3220.104166666666,61.75,1
21,1.1011845368056,1.00452394865318,1.00931515649652,14.769722222222224,15.275,3223.7847222222226,61.75,1
22,1.09824533748436,1.00415937364726,1.00829820739861,14.789861111111126,15.275,3219.8402777777774,61.75,1
23,1.1051228960065,1.00548351171263,1.00870642063072,14.75618055555555,15.275,3222.1423611111127,61.75,1
