,Profile factor,Symmetry,Crossflow,Swirl Angle,Average flow velocity,Average speed of sound,Average Signal Strength,Meter performance,Average Gain,Average Transit Time,Class Attruibute
0,1.0,0.08697034732419962,0.14298082583792482,0.2734138751520382,-0.10735480639201735,0.3100615852181634,0.11014209395717114,0.10966402530314,0.26605615618018696,-0.017972499484404342,0.33547320182888
1,0.08697034732419962,1.0,0.8643508855186403,0.5863348539485662,0.2347407632686309,0.6729069649944808,0.20781031386585197,0.4987877743215521,0.48698708911425453,0.610866505999685,0.4288154482117521
2,0.14298082583792482,0.8643508855186403,1.0,0.566278838153788,0.28138627450558795,0.40090726832045315,0.4048074663804662,0.6747374058568597,0.12260325314586291,0.8178838489120294,0.28092911110323177
3,0.2734138751520382,0.5863348539485662,0.566278838153788,1.0,0.04437493169951774,0.7287063578572553,-0.1540193977138225,0.07748497368243343,0.6337716602079659,0.16817584787565,0.7786028956247069
4,-0.10735480639201735,0.2347407632686309,0.28138627450558795,0.04437493169951774,1.0,0.09375397378634781,-0.0810976821188935,0.03673140992977076,0.03266722491023832,0.1987221123993643,0.055319841654608855
5,0.3100615852181634,0.6729069649944808,0.40090726832045315,0.7287063578572553,0.09375397378634781,1.0,-0.12302131692160463,0.1102420333167355,0.9300061583761807,-0.0606193585117832,0.8068721576350625
6,0.11014209395717114,0.20781031386585197,0.4048074663804662,-0.1540193977138225,-0.0810976821188935,-0.12302131692160463,1.0,0.8304719520878199,-0.36602958592683904,0.4689202909093666,-0.37280043707215516
7,0.10966402530314,0.4987877743215521,0.6747374058568597,0.07748497368243343,0.03673140992977076,0.1102420333167355,0.8304719520878199,1.0,-0.1976016555729099,0.6848980806828917,-0.17938118554848193
8,0.26605615618018696,0.48698708911425453,0.12260325314586291,0.6337716602079659,0.03266722491023832,0.9300061583761807,-0.36602958592683904,-0.1976016555729099,1.0,-0.2998599218788475,0.7896797345539145
9,-0.017972499484404342,0.610866505999685,0.8178838489120294,0.16817584787565,0.1987221123993643,-0.0606193585117832,0.4689202909093666,0.6848980806828917,-0.2998599218788475,1.0,-0.191096165616496
10,0.33547320182888,0.4288154482117521,0.28092911110323177,0.7786028956247069,0.055319841654608855,0.8068721576350625,-0.37280043707215516,-0.17938118554848193,0.7896797345539145,-0.191096165616496,1.0
