,Profile factor,Symmetry,Crossflow,Flow Velocity1,Flow Velocity2,Flow Velocity3,Flow Velocity4,Speed of Sound1,Speed of Sound2,Speed of Sound3,Speed of Sound4,Signal Strength1,Signal Strength2,Signal Strength3,Signal Strength4,Signal Strength5,Signal Strength6,Signal Strength7,Signal Strength8,Signal Quality1,Signal Quality2,Signal Quality3,Signal Quality4,Signal Quality5,Signal Quality6,Signal Quality7,Signal Quality8,Gain1,Gain2,Gain3,Gain4,Gain5,Gain6,Gain7,Gain8,Transit time1,Transit time2,Transit time3,Transit time4,Transit time5,Transit time6,Transit time7,Transit time8,Class Attruibute
0,1.10268971084691,1.00442493353855,1.00674137629137,15.2286111111111,16.6763888888889,16.7130555555556,15.0513888888889,1485.44722222222,1485.41666666667,1485.49166666667,1485.55,62.0,62.0,63.0,63.0,61.0,61.0,61.0,61.0,3444.80555555556,2924.55555555556,3232.11111111111,3193.13888888889,3098.25,3328.61111111111,3524.61111111111,2507.58333333333,15.5388888888889,15.5388888888889,10.0,10.0,17.2,17.2,17.7,17.7,86.5858333333333,85.5766666666666,106.985,105.530833333333,106.714444444444,105.255833333333,86.4611111111111,85.4608333333333,1
1,1.10143161440531,1.00372200232389,1.00825616845614,14.1066666666667,15.4075,15.4738888888889,13.9308333333333,1485.22222222222,1485.21111111111,1485.28888888889,1485.35277777778,62.0,62.0,63.0,63.0,61.0,61.0,61.0,61.0,3536.22222222222,2981.19444444444,3260.33333333333,3254.97222222222,3118.66666666667,3335.61111111111,3553.66666666667,2601.27777777778,15.5,15.5,10.0,10.0,17.2,17.2,17.7,17.7,86.56,85.6280555555556,106.9425,105.603611111111,106.676111111111,105.326666666667,86.4338888888889,85.5105555555556,1
2,1.09856774308336,1.00252780109601,1.00910346915987,14.1366666666667,15.3880555555556,15.4844444444444,13.9658333333333,1485.06111111111,1485.04722222222,1485.13333333333,1485.18333333333,62.0,62.0,63.0,63.0,61.0,61.0,61.0,61.0,3513.52777777778,3005.0,3284.83333333333,3264.19444444444,3138.02777777778,3329.47222222222,3567.88888888889,2592.75,15.5,15.5,10.0,10.0,17.2,17.2,17.7,17.7,86.5722222222222,85.6352777777778,106.954722222222,105.614722222222,106.686388888889,105.336388888889,86.4447222222222,85.5191666666667,1
3,1.09951578884829,1.00702365514043,1.00936315390448,14.1463888888889,15.405,15.4391666666667,13.9061111111111,1485.14444444444,1485.11388888889,1485.21666666667,1485.25,62.0,62.0,63.0,63.0,61.0,61.0,61.0,61.0,3541.47222222222,2990.72222222222,3282.91666666667,3275.47222222222,3123.5,3334.25,3573.91666666667,2607.19444444444,15.5,15.5,10.0,10.0,17.2,17.2,17.7,17.7,86.5661111111111,85.6308333333333,106.9525,105.609444444444,106.681388888889,105.331666666667,86.4397222222222,85.5158333333334,1
4,1.10033623947392,1.00066135066702,1.00670931058991,14.0569444444444,15.3636111111111,15.4522222222222,13.9488888888889,1485.20277777778,1485.18055555555,1485.27222222222,1485.3,62.0,62.0,63.0,63.0,61.0,61.0,61.0,61.0,3495.33333333333,2970.33333333333,3289.88888888889,3244.19444444444,3117.27777777778,3332.08333333333,3540.22222222222,2592.66666666667,15.5,15.5,10.0,10.0,17.2,17.2,17.7,17.7,86.5611111111111,85.6308333333334,106.946666666667,105.603888888889,106.676111111111,105.328888888889,86.4369444444444,85.5122222222223,1
5,1.10226968232387,1.00282699544277,1.0066214500881,14.0641666666667,15.3983333333333,15.4538888888889,13.9255555555556,1485.26666666667,1485.24722222222,1485.34166666667,1485.36388888889,62.0,62.0,63.0,63.0,61.0,61.0,61.0,61.0,3514.63888888889,2981.11111111111,3265.38888888889,3249.22222222222,3117.08333333333,3345.58333333333,3531.75,2598.41666666667,15.5,15.5,10.0,10.0,17.2,17.2,17.7,17.7,86.5572222222223,85.6269444444444,106.941111111111,105.600555555556,106.671666666667,105.323611111111,86.4325,85.5088888888889,1
6,1.10142468797746,1.00377462017293,1.00888682341113,14.0919444444444,15.3816666666667,15.4563888888889,13.9063888888889,1485.33611111111,1485.31666666667,1485.39722222222,1485.43611111111,62.0,62.0,63.0,63.0,61.0,61.0,61.0,61.0,3515.97222222222,2971.5,3251.63888888889,3248.97222222222,3117.72222222222,3354.5,3549.61111111111,2614.33333333333,15.5,15.5,10.0,10.0,17.2,17.2,17.7,17.7,86.5552777777778,85.6222222222222,106.9375,105.594722222222,106.668055555556,105.320277777778,86.4269444444445,85.5075,1
7,1.10134759124884,1.00141341287245,1.00786137292518,12.7902777777778,13.9755555555556,14.0613888888889,12.6666666666667,1485.23611111111,1485.20833333333,1485.28888888889,1485.33055555556,62.0,62.0,63.0,63.0,61.0,61.0,61.0,61.0,3580.5,3066.94444444444,3309.05555555556,3283.44444444444,3162.13888888889,3363.55555555556,3571.02777777778,2669.25,15.5,15.5,10.0,10.0,17.2,17.2,17.7,17.7,86.5163888888889,85.6688888888889,106.883611111111,105.665,106.613888888889,105.388611111111,86.3925,85.5547222222222,1
8,1.10445619154687,1.00018187398407,1.00757567114286,11.6602777777778,12.7811111111111,12.8711111111111,11.5658333333333,1485.10277777778,1485.10555555555,1485.2,1485.20555555556,62.0,62.0,63.0,63.0,61.0,61.0,61.0,61.0,3624.41666666667,3145.11111111111,3335.83333333333,3315.05555555556,3219.52777777778,3388.97222222222,3570.86111111111,2741.22222222222,15.5,15.5,10.0,10.0,17.2,17.2,17.7,17.7,86.4877777777777,85.7130555555555,106.837777777778,105.724166666667,106.568055555556,105.448333333333,86.3636111111111,85.5975,1
9,1.10360576203169,1.00632676378178,1.00853552178202,9.3475,10.2255555555556,10.2469444444444,9.20305555555555,1485.2,1485.22222222222,1485.28888888889,1485.30555555556,62.0,62.0,63.0,63.0,61.0,61.0,61.0,61.0,3670.02777777778,3272.72222222222,3385.05555555556,3414.58333333333,3286.58333333333,3414.25,3577.55555555556,2894.88888888889,15.5,15.5,10.0,10.0,17.2,17.2,17.7,17.7,86.4041666666667,85.7866666666667,106.719444444444,105.8275,106.445555555556,105.554166666667,86.2791666666667,85.6697222222222,1
