,Profile factor,Symmetry,Crossflow,Flow Velocity1,Flow Velocity2,Flow Velocity4,Speed of Sound1,Speed of Sound2,Speed of Sound3,Speed of Sound4,Signal Strength1,Signal Strength3,Signal Strength5,Signal Strength7,Signal Quality1,Signal Quality2,Signal Quality3,Signal Quality4,Signal Quality5,Signal Quality6,Signal Quality7,Signal Quality8,Gain1,Gain3,Gain5,Gain7,Transit time7,Class Attruibute
0,1.10268971084691,1.00442493353855,1.00674137629137,15.2286111111111,16.6763888888889,15.0513888888889,1485.44722222222,1485.41666666667,1485.49166666667,1485.55,62.0,63.0,61.0,61.0,3444.80555555556,2924.55555555556,3232.11111111111,3193.13888888889,3098.25,3328.61111111111,3524.61111111111,2507.58333333333,15.5388888888889,10.0,17.2,17.7,86.4611111111111,1
1,1.10143161440531,1.00372200232389,1.00825616845614,14.1066666666667,15.4075,13.9308333333333,1485.22222222222,1485.21111111111,1485.28888888889,1485.35277777778,62.0,63.0,61.0,61.0,3536.22222222222,2981.19444444444,3260.33333333333,3254.97222222222,3118.66666666667,3335.61111111111,3553.66666666667,2601.27777777778,15.5,10.0,17.2,17.7,86.4338888888889,1
2,1.09856774308336,1.00252780109601,1.00910346915987,14.1366666666667,15.3880555555556,13.9658333333333,1485.06111111111,1485.04722222222,1485.13333333333,1485.18333333333,62.0,63.0,61.0,61.0,3513.52777777778,3005.0,3284.83333333333,3264.19444444444,3138.02777777778,3329.47222222222,3567.88888888889,2592.75,15.5,10.0,17.2,17.7,86.4447222222222,1
3,1.09951578884829,1.00702365514043,1.00936315390448,14.1463888888889,15.405,13.9061111111111,1485.14444444444,1485.11388888889,1485.21666666667,1485.25,62.0,63.0,61.0,61.0,3541.47222222222,2990.72222222222,3282.91666666667,3275.47222222222,3123.5,3334.25,3573.91666666667,2607.19444444444,15.5,10.0,17.2,17.7,86.4397222222222,1
4,1.10033623947392,1.00066135066702,1.00670931058991,14.0569444444444,15.3636111111111,13.9488888888889,1485.20277777778,1485.18055555555,1485.27222222222,1485.3,62.0,63.0,61.0,61.0,3495.33333333333,2970.33333333333,3289.88888888889,3244.19444444444,3117.27777777778,3332.08333333333,3540.22222222222,2592.66666666667,15.5,10.0,17.2,17.7,86.4369444444444,1
5,1.10226968232387,1.00282699544277,1.0066214500881,14.0641666666667,15.3983333333333,13.9255555555556,1485.26666666667,1485.24722222222,1485.34166666667,1485.36388888889,62.0,63.0,61.0,61.0,3514.63888888889,2981.11111111111,3265.38888888889,3249.22222222222,3117.08333333333,3345.58333333333,3531.75,2598.41666666667,15.5,10.0,17.2,17.7,86.4325,1
6,1.10142468797746,1.00377462017293,1.00888682341113,14.0919444444444,15.3816666666667,13.9063888888889,1485.33611111111,1485.31666666667,1485.39722222222,1485.43611111111,62.0,63.0,61.0,61.0,3515.97222222222,2971.5,3251.63888888889,3248.97222222222,3117.72222222222,3354.5,3549.61111111111,2614.33333333333,15.5,10.0,17.2,17.7,86.4269444444445,1
7,1.10134759124884,1.00141341287245,1.00786137292518,12.7902777777778,13.9755555555556,12.6666666666667,1485.23611111111,1485.20833333333,1485.28888888889,1485.33055555556,62.0,63.0,61.0,61.0,3580.5,3066.94444444444,3309.05555555556,3283.44444444444,3162.13888888889,3363.55555555556,3571.02777777778,2669.25,15.5,10.0,17.2,17.7,86.3925,1
8,1.10445619154687,1.00018187398407,1.00757567114286,11.6602777777778,12.7811111111111,11.5658333333333,1485.10277777778,1485.10555555555,1485.2,1485.20555555556,62.0,63.0,61.0,61.0,3624.41666666667,3145.11111111111,3335.83333333333,3315.05555555556,3219.52777777778,3388.97222222222,3570.86111111111,2741.22222222222,15.5,10.0,17.2,17.7,86.3636111111111,1
9,1.10360576203169,1.00632676378178,1.00853552178202,9.3475,10.2255555555556,9.20305555555555,1485.2,1485.22222222222,1485.28888888889,1485.30555555556,62.0,63.0,61.0,61.0,3670.02777777778,3272.72222222222,3385.05555555556,3414.58333333333,3286.58333333333,3414.25,3577.55555555556,2894.88888888889,15.5,10.0,17.2,17.7,86.2791666666667,1
10,1.10715335980003,1.00321504079957,1.00967623187898,7.60777777777778,8.34083333333333,7.50555555555556,1485.26388888889,1485.29722222222,1485.375,1485.38333333333,62.0,63.0,61.0,61.0,3695.91666666667,3378.75,3431.41666666667,3411.94444444444,3314.83333333333,3480.47222222222,3575.47222222222,3012.80555555556,15.5,10.0,17.2,17.7,86.2186111111111,1
11,1.09954229220066,1.00694784739237,1.01085412684774,7.65666666666667,8.32583333333334,7.51555555555555,1485.26388888889,1485.3,1485.38888888889,1485.38055555556,62.0,63.0,61.0,61.0,3690.47222222222,3379.13888888889,3435.0,3421.30555555556,3316.97222222222,3479.0,3574.58333333333,3007.47222222222,15.5,10.0,17.2,17.7,86.2186111111111,1
12,1.10392419215895,1.00702883219974,1.01800217995148,7.67666666666667,8.32194444444444,7.47861111111111,1485.26666666667,1485.29722222222,1485.39166666667,1485.38055555556,62.0,63.0,61.0,61.0,3696.30555555556,3377.11111111111,3435.77777777778,3415.27777777778,3318.41666666667,3481.36111111111,3584.0,3008.41666666667,15.5,10.0,17.2,17.7,86.2183333333333,1
13,1.10412811257489,1.00644721668938,1.01129676334594,7.65055555555556,8.35027777777778,7.50972222222222,1485.23055555555,1485.25833333333,1485.33888888889,1485.35833333333,62.0,63.0,61.0,61.0,3678.05555555556,3367.69444444444,3435.66666666667,3411.44444444444,3309.77777777778,3471.11111111111,3579.02777777778,3000.66666666667,15.5,10.0,17.2,17.7,86.22,1
14,1.10476889214967,1.00422670509126,1.00738213942097,7.61833333333333,8.35305555555556,7.52611111111111,1485.18055555555,1485.20833333333,1485.3,1485.31388888889,62.0,63.0,61.0,61.0,3683.66666666667,3369.75,3455.80555555556,3411.47222222222,3318.55555555556,3474.61111111111,3581.27777777778,3008.16666666667,15.5,10.0,17.2,17.7,86.2233333333333,1
