,Flatness ratio,Symmetry,Crossflow,Flow Velocity1,Speed of Sound1,Gain2,Gain3,Gain5,Gain8,GainA3,Class Attruibute
0,0.841498715,1.009366526,0.993816009,8.469805167,1485.5285,33.50586,36.702475,35.323895,32.45117333,36.722005,1
1,0.842250216,1.006583694,0.996605206,7.531891,1486.042333,33.42936,36.68294167,35.29459833,32.428385,36.687825,1
2,0.840723143,1.011646566,0.998151739,6.641698833,1486.023667,33.41959833,36.67155167,35.275065,32.428385,36.661785,1
3,0.841118753,1.017807315,0.996811566,5.687524167,1484.898,33.40332,36.68294167,35.27669333,32.48535,36.67317667,1
4,0.84035819,1.016534387,0.996220736,5.660385,1484.361333,33.38216167,36.69108,35.275065,32.503255,36.67317667,1
5,0.838901056,1.014557154,0.995403964,5.6459995,1484.3405,33.42284833,36.68457167,35.27832,32.49511667,36.66666833,1
6,0.841544173,1.010260437,0.995604473,5.6185855,1484.6455,33.41145833,36.67480667,35.27832,32.50162667,36.668295,1
7,0.840916296,1.015113039,0.99589001,5.647399833,1484.815667,33.40169167,36.68945167,35.26692667,32.48860833,36.67643167,1
8,0.841672416,1.008904387,0.994212273,5.623128,1484.785167,33.38867333,36.69108,35.26367167,32.50488333,36.66341333,1
9,0.835900209,1.014731073,0.997579684,4.744331333,1484.5115,33.406575,36.69108167,35.26367,32.53418167,36.66992167,1
10,0.838165746,1.020301921,0.998545239,3.825927,1484.286167,33.41959667,36.68945333,35.25390667,32.57487,36.66504,1
11,0.836530439,1.020687567,0.997925971,2.866251667,1484.377833,33.40820167,36.70247167,35.25228,32.62532333,36.65201833,1
12,0.833182062,1.016012278,0.998096606,2.856635333,1484.376667,33.42447833,36.71223833,35.249025,32.62044333,36.66992333,1
13,0.836616933,1.017293618,0.999491819,2.870596667,1484.3165,33.42447833,36.70898333,35.25716167,32.631835,36.65852833,1
14,0.835410037,1.018532037,0.999400516,2.859560167,1484.219,33.42448,36.71386833,35.25228,32.62858,36.65853,1
15,0.831037729,1.016245509,0.999512364,2.856868667,1484.109667,33.426105,36.70247167,35.24414333,32.63834333,36.66504,1
16,0.827156488,1.026434899,0.998744158,1.907462833,1483.926667,33.43424333,36.7334,35.25553333,32.68554667,36.66504,1
17,0.840287219,1.010155755,0.994281218,6.5880525,1487.056833,33.40332,36.68457,35.23111833,32.402345,36.67643333,1
18,0.840422531,1.009880685,0.994748118,5.625257833,1486.562167,33.40169333,36.68457,35.22623833,32.46582167,36.65853,1
19,0.833873192,1.009410731,0.99646667,5.5771785,1486.147,33.37890667,36.68294333,35.23600333,32.456055,36.66992167,1
20,0.834697184,1.010933575,0.993564527,5.600546833,1485.848333,33.39681167,36.68294333,35.25390667,32.44954667,36.68945333,1
21,0.840040127,1.009578515,0.995630485,5.622303,1485.527333,33.40331833,36.69108,35.26692833,32.47233167,36.687825,1
22,0.837823868,1.009584388,0.996414482,5.599645333,1485.177833,33.40494833,36.7041,35.24576667,32.46744833,36.68131333,1
23,0.840070651,1.00983711,0.995892464,5.620457167,1484.770167,33.434245,36.70572833,35.25553333,32.488605,36.69108,1
24,0.835882753,1.006689657,0.998153504,4.672431,1484.026667,33.41796833,36.70898333,35.26041833,32.52441667,36.692705,1
25,0.835540978,1.013631165,0.99651424,3.751276833,1484.107167,33.434245,36.71061167,35.25716167,32.57487167,36.67968833,1
26,0.828937244,1.023252997,0.997341312,2.831307833,1484.3545,33.43261667,36.73828333,35.25228,32.61230333,36.67968667,1
27,0.829853205,1.019622498,0.999468401,2.855410333,1484.538667,33.44401167,36.72526,35.242515,32.59765833,36.681315,1
28,0.831789954,1.022041953,0.998619959,2.856345,1484.618667,33.44400833,36.73177167,35.25391,32.605795,36.67643333,1
29,0.83154124,1.018430772,0.999360787,2.84694,1484.628,33.45052167,36.73177,35.25553333,32.60579333,36.67806167,1
30,0.835383566,1.018387347,0.997963537,2.845507,1484.609,33.43912667,36.73502667,35.25879,32.62695333,36.674805,1
31,0.831666172,1.025494783,0.998517444,2.855798833,1484.537167,33.43750167,36.73502667,35.25228,32.618815,36.67643167,1
32,0.82610193,1.028315061,0.999753702,1.898833833,1484.1895,33.47168167,36.75781333,35.27831833,32.69043,36.68619833,1
33,0.812824146,1.013436515,0.99438474,8.237531833,1486.113,33.372395,36.70247333,35.315755,32.34212333,36.70573,2
34,0.813179504,1.011269782,0.996533287,7.3128065,1485.749667,33.35449333,36.681315,35.27018333,32.36328333,36.69270833,2
35,0.812990988,1.00635785,0.99542042,6.410460167,1485.298333,33.35449333,36.67968667,35.23925833,32.39420667,36.67317833,2
36,0.809409199,1.015499872,0.995497391,5.459944,1484.722,33.35774833,36.68619667,35.22949333,32.43164,36.66504,2
37,0.817722838,1.017959691,0.994152344,5.507136667,1485.017167,33.34309833,36.68619833,35.24577,32.40397167,36.66341167,2
38,0.814102748,1.019995528,0.995129148,5.516501167,1485.201,33.36425667,36.67317667,35.21321667,32.38606667,36.65039167,2
39,0.814976839,1.014751122,0.996844999,5.5051765,1485.216,33.35449167,36.674805,35.22949167,32.39746167,36.64225333,2
40,0.814290016,1.017948329,0.996099045,5.498627333,1485.000333,33.359375,36.67643333,35.23275,32.43164167,36.67155,2
41,0.812483926,1.017922654,0.995656344,5.4654925,1484.890333,33.35775,36.67643167,35.23763167,32.42024833,36.65364667,2
42,0.811060991,1.020220848,0.998896211,3.690734333,1484.7525,33.365885,36.69270833,35.21484333,32.51139333,36.66015833,2
43,0.809242124,1.025980406,0.999003803,2.8046305,1484.509833,33.393555,36.70573,35.23275,32.571615,36.65853167,2
44,0.812089811,1.023370108,0.998525831,2.805402,1484.593167,33.38867167,36.70898333,35.236005,32.58463667,36.65202,2
